scientific,_score,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Lutjanus campechanus,0.22275780161915093,0.45730501413345337,0.9614581682741048,54.61268643539818,1.6418039166296328,0.4251075753680142,0.5764705882352941,0.06576290741274878,5.0,48.74794196618925,0.22710834017439152,2.4326405021961253,0.44719101123595506,0.8109102164927805,2.726801544608574,0.5029190898311784
Lutjanus campechanus,0.21213995815336964,0.4399336874485016,0.9811908270070377,28.979297271991488,2.523266977663307,0.16059005582094224,0.28627450980392155,0.01072315940891853,4.0,37.02964695744374,0.3298025369425919,1.910428142047712,0.5765765765765766,0.9032917628208961,2.3109244493604937,0.5907860985985987
Lutjanus campechanus,0.1856682707745917,0.17690157890319824,0.7934245162634832,20.685822981889565,2.1194925433398275,0.11626038876569411,0.25882352941176473,0.0005945142548304283,5.0,42.33409164258827,0.1716524793946764,2.807719980634155,0.3695652173913043,0.8462589444920455,2.3595766372867475,0.5769315777840927
Lutjanus campechanus,0.15761718267591046,0.4182496964931488,0.9660615000697894,46.76852697681799,3.06455697880016,0.25667193066090327,0.44313725490196076,0.010790974027392472,6.0,51.199696836403284,0.14591843421656217,1.9419567020279718,0.5317286652078774,0.7376876545930987,3.244843984795009,0.4068671151092741
Lutjanus campechanus,0.1431532267709843,0.43947646021842957,0.9400077819916187,50.00720429192958,2.3718115397940513,0.3972024051429177,0.6823529411764706,0.1630344072781996,6.0,49.67380529387954,0.24695259593679458,1.1803659993220714,1.078078078078078,0.7598008581166598,3.260589560600627,0.6051134700159769
Lutjanus campechanus,0.14312745354877052,0.4725571870803833,0.9792348954130653,35.64384619997419,2.4039659946325185,0.14478194788856324,0.30980392156862746,0.0009889974038818149,5.0,40.94596061994631,0.3147484237853876,2.1574798234102883,0.5020080321285141,0.7241884529096653,3.4260621498101833,0.5081767068273092
Lutjanus campechanus,0.13026040999399835,0.5870763659477234,0.9900217503629045,33.88235519251206,2.244148792316163,0.16175676082435403,0.33725490196078434,0.0026061190246688803,5.0,52.543106147544925,0.2028131805362179,1.4009375982645147,0.6159420289855072,0.7290689485642913,4.665346956143259,0.5847080136402387
Lutjanus campechanus,0.12031928373720445,0.5445789098739624,0.9834011892325278,53.83215515397053,1.8136113108012917,0.35680561106570874,0.5843137254901961,0.08471081364297063,6.0,36.941542434757416,0.2479464557347125,1.739457789712813,0.5977777777777777,0.6919373178878544,4.084135588756058,0.4825898389095415
Lutjanus campechanus,0.1189162138504435,0.6496526002883911,0.9889930220364502,45.119764737412595,1.8572565536288146,0.34890481685898844,0.5098039215686274,0.02193538897162925,6.0,52.23810965451855,0.2677294206336073,2.0438692173508466,0.6063348416289592,0.6147958744919078,4.514992185429471,0.45264486391571557
Lutjanus campechanus,0.11796033159667293,0.14412936568260193,0.8739313805707751,46.65424716839394,2.901580037808681,0.34512282726858473,0.5450980392156862,0.04462404478128243,5.0,41.73532712789716,0.16091700996886696,1.0667309583334939,1.018348623853211,0.7731757616172094,3.1394934152475034,0.6468613108521365
