scientific,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Lutjanus campechanus,61.75984401179381,1.512509532414925,0.3999891732816275,0.592156862745098,0.08912685797149948,4.0,30.376464744840757,0.2140048523383251,2.24824408471499,0.4891891891891892,0.7389468403118925,3.040427274211322,0.5278333582200986
Lutjanus campechanus,73.84448226892115,1.2153523959099342,0.6326823167704301,0.9098039215686274,0.5737158105403602,5.0,32.6867220319873,0.20198973228529166,2.854204365635198,2.5405405405405403,0.8359759095378564,2.662308372556336,0.6111180994824612
Lutjanus campechanus,19.53184509415052,2.585947384694423,0.11286761552216747,0.22745098039215686,0.00013856721499693172,4.0,30.944699288250103,0.04936951917176396,1.444518809802127,0.6768447837150128,0.6521872152063534,10.597045920324156,0.4791989515774168
Lutjanus campechanus,58.16747574669753,2.9741011439427933,0.3908732259488198,0.6196078431372549,0.12751665398675102,6.0,58.194298828908146,0.16902636803919022,1.1265780344616814,1.1216730038022813,0.8281544036454688,3.0065281977222518,0.686337565251015
Lutjanus campechanus,61.10655596153521,1.021191949331788,0.348242543738698,0.6745098039215687,0.165809402698958,6.0,57.42343308727677,0.20382637083151442,1.6792210785029156,1.4291187739463602,0.8137766036206642,3.6636920062373397,0.5363111563074584
Lutjanus campechanus,41.32657432822139,1.8723940575216027,0.28014650721503903,0.6,0.09866940419315355,6.0,55.47545210439726,0.27375922928100443,1.7925157263288223,1.543859649122807,0.8716525829776113,3.11923872124465,0.6233614932216905
Lutjanus campechanus,46.97743469733998,1.8147277737865855,0.28579291540380086,0.5058823529411764,0.026816323421112776,6.0,40.283122736579514,0.3172503110795094,2.2737819236764736,2.073298429319372,0.7597923795770153,3.448226073920384,0.47996324501560106
Lutjanus campechanus,41.284729590057815,1.4234083210446986,0.23953812726500362,0.4588235294117647,0.024484295635948998,5.0,48.30734467945568,0.24455271068726028,1.3197243195363155,1.2660944206008584,0.891331784675605,2.9426547063169015,0.7089546810213138
Lutjanus campechanus,49.71124393766277,2.3796317157954396,0.39144913084401267,0.6705882352941176,0.1543932527693857,6.0,48.35909055732645,0.2370552198724404,1.1991655860929165,1.086466165413534,0.7682314348275553,3.5624559541595917,0.6138486354294039
Lutjanus campechanus,52.366197280633635,2.0559737050877778,0.45040720917593563,0.6470588235294118,0.15974459439849079,5.0,43.5108406690218,0.23479901320563054,2.849702712680175,2.1493506493506493,0.8689587275609881,2.7134003993975613,0.6666437791815435
Lutjanus campechanus,94.46991081048682,2.363696686923354,0.4357923365745644,0.6470588235294118,0.15747284630263353,5.0,40.43247679050748,0.30700416604671926,1.0849237252880357,0.9162303664921466,0.6023749957548932,4.257345175917701,0.39799551234106206
Lutjanus campechanus,35.27785273809911,2.120575738913137,0.21976427799706896,0.45098039215686275,0.024069830878341518,5.0,40.4268055788926,0.1259356246590289,1.5479116911789186,0.6128133704735376,0.7062722742550553,3.084832194609868,0.5733476829577108
Lutjanus campechanus,51.005745890290285,1.908865589442072,0.3452428950830162,0.6352941176470588,0.13311013410349332,5.0,49.541859878036256,0.10336454443442909,1.1148278463705383,1.0214285714285714,0.8629406898307243,2.4172597652084917,0.6773351648351649
Lutjanus campechanus,64.12124797401802,1.9729413329328893,0.3439802032386643,0.5725490196078431,0.06841917449744261,4.0,28.627186113552877,0.22267158320447247,1.9794562555134136,1.1634980988593155,0.7943118528584279,3.1103217031622816,0.5156937299634683
Lutjanus campechanus,50.83632895537683,1.558981707495777,0.347031015227288,0.5803921568627451,0.07784979031643156,6.0,50.58505371956544,0.2502096835684331,2.5170697229330137,2.109677419354839,0.8135569179366755,2.920558928218138,0.5092335010358094
Lutjanus campechanus,41.37168196095646,1.5897360350425258,0.22622680250024224,0.4470588235294118,0.013823105436573311,5.0,47.3847889453989,0.2487644151565074,2.663902011820444,1.5327868852459017,0.7868737999650899,3.3118596514768543,0.4198956780923994
Epinephelus striatus,35.800808286365076,3.7226792990471305,0.3556536711618804,0.5607843137254902,0.053709683957356535,6.0,36.976435869926135,0.19348998094826306,1.8487834708173376,0.605,0.9083207074611175,1.8074878885250731,0.7586776859504132
Epinephelus striatus,38.687695677748216,2.6076553787845076,0.2938122162799275,0.4745098039215686,0.019449160951729917,6.0,52.48338439611086,0.21625614677280647,2.3110005216347793,0.4727272727272727,0.856481039258764,2.459860668842836,0.6398244612530327
Epinephelus striatus,38.7628807299636,3.2941883286283256,0.29014267487317674,0.5450980392156862,0.06407079646017699,6.0,56.32336374304402,0.16376887038001042,1.909365935155455,0.5422343324250681,0.8506098106989989,3.1118002422194317,0.6503293031917079
Epinephelus striatus,52.624276632113435,1.507555350611034,0.6058135922736744,0.6705882352941176,0.5311220554203999,5.0,30.039737660354124,0.050396566387784565,2.462345397856035,0.61,0.7628723299088234,4.646368077817674,0.5139344262295082
Epinephelus striatus,77.05591591270337,1.6071936669287699,0.4895675612933181,0.9529411764705882,0.3989622158883286,6.0,41.28485528420418,0.265438865745816,1.9011887997352643,0.5658914728682171,0.9915034635794945,1.3769501018170205,0.8013462650289666
